,Beta Value,Max Bid,Num Bids,Average Optimum Profit,Average Actual Profit,Average Loss,Average Loss Per Bid,Worst Loss,Average Worst Loss
27,1.1,40,5,73.88,41.296,25.868,5.174,70.909,14.182
28,1.1,40,10,125.44,61.695,52.341,5.234,152.727,15.273
29,1.1,40,20,232.14,111.689,99.348,4.967,248.182,12.409
30,1.1,40,50,552.28,359.28,142.793,2.856,545.455,10.909
31,1.1,40,100,1086.86,724.362,263.693,2.637,879.342,8.793
32,1.1,40,150,1626.16,1069.065,409.262,2.728,1279.444,8.53
33,1.1,40,200,2192.94,1592.03,401.552,2.008,1479.33,7.397
34,1.1,40,500,5290.88,4155.649,654.242,1.308,3158.134,6.316
35,1.1,40,1000,10577.58,9065.963,550.019,0.55,2568.205,2.568
36,1.1,50,5,82.08,41.084,33.535,6.707,120.0,24.0
37,1.1,50,10,157.02,72.525,70.22,7.022,203.636,20.364
38,1.1,50,20,299.4,155.65,116.531,5.827,345.259,17.263
39,1.1,50,50,668.2,359.221,248.233,4.965,676.364,13.527
40,1.1,50,100,1352.4,869.386,360.068,3.601,1106.49,11.065
41,1.1,50,150,2042.9,1280.734,576.448,3.843,1694.281,11.295
42,1.1,50,200,2621.66,2004.922,378.405,1.892,2354.975,11.775
43,1.1,50,500,6501.5,5316.178,594.277,1.189,3137.415,6.275
44,1.1,50,1000,13192.86,11664.727,328.782,0.329,4375.434,4.375
45,1.1,100,5,169.7,67.954,86.319,17.264,218.182,43.636
46,1.1,100,10,307.36,170.277,109.141,10.914,312.727,31.273
47,1.1,100,20,602.96,333.097,215.048,10.752,643.636,32.182
48,1.1,100,50,1407.88,831.044,448.847,8.977,1455.71,29.114
49,1.1,100,100,2670.3,1792.787,634.758,6.348,2122.585,21.226
50,1.1,100,150,4012.02,2872.152,775.139,5.168,2746.425,18.309
51,1.1,100,200,5172.34,3773.243,928.884,4.644,4063.607,20.318
52,1.1,100,500,13055.02,10822.298,1045.902,2.092,5286.272,10.573
53,1.1,100,1000,25626.54,22663.114,633.74,0.634,7350.019,7.35
54,1.1,200,5,341.32,149.513,160.778,32.156,454.545,90.909
55,1.1,200,10,591.24,255.322,282.169,28.217,661.818,66.182
56,1.1,200,20,1188.8,670.033,410.694,20.535,1161.818,58.091
57,1.1,200,50,2692.3,1663.491,784.054,15.681,2415.349,48.307
58,1.1,200,100,5276.82,3598.169,1198.94,11.989,5179.895,51.799
59,1.1,200,150,7779.94,4974.199,2098.474,13.99,7221.713,48.145
60,1.1,200,200,10289.48,7581.681,1772.392,8.862,9185.244,45.926
61,1.1,200,500,25580.12,20533.809,2720.845,5.442,18337.38,36.675
62,1.1,200,1000,50934.22,45549.193,754.643,0.755,14703.582,14.704
63,1.1,500,5,914.14,459.474,371.563,74.313,1185.455,237.091
64,1.1,500,10,1494.14,542.085,816.224,81.622,1800.909,180.091
65,1.1,500,20,3003.54,1785.137,945.354,47.268,3281.818,164.091
66,1.1,500,50,6695.32,4169.439,1917.215,38.344,6670.0,133.4
67,1.1,500,100,13159.98,8868.932,3094.686,30.947,11491.077,114.911
68,1.1,500,150,19625.96,13449.627,4392.154,29.281,17904.175,119.361
69,1.1,500,200,26168.22,20118.385,3670.906,18.355,22983.433,114.917
70,1.1,500,500,64144.18,53356.369,4956.521,9.913,34348.001,68.696
71,1.1,500,1000,127517.32,112574.312,3350.525,3.351,43739.491,43.739
72,1.1,1000,5,1801.24,799.507,837.984,167.597,2622.727,524.545
73,1.1,1000,10,3340.88,1752.082,1285.082,128.508,3654.545,365.454
74,1.1,1000,20,5899.3,3055.908,2307.092,115.355,6334.545,316.727
75,1.1,1000,50,13726.32,8867.372,3611.101,72.222,11686.417,233.728
